Sentiment,Tweet
0,pnr 8348062961 way water toilet mess everywhere coach please provide basic facil
0,ac working prayag lucknow intercity today departed prayag 345 pmstaff helping us
0,im traveling chennai train 16102 coach s446 berth dirtysome one vomitted birth
5,irctc responding time tatkal booking
7,matter notified concerned official
6,cant give justice graduate engineers one thing least stop recruiting tech sse
4,wrkout smthng tht cn hlp trains run right timemalwa exprs delayed hrs mathura junction
0,dirty water flowing ftm blower local coach aft 1st rain 808 thane vashi
6,enter win 150 amazon gift card books pnr urbanfantasy romance
3,still vendors selling local local products like water etc inside train
4,please update status today 12141 ltt ppta express departure ltt
0,swatch bharat abhiyaan train stops kozhikodcalicut one comes 12218 coacha1 water
5,reserved ticket allotted rac passenger boarded next station kindly please help
4,update today intercity 12930 late 16 min
0,train 12656 proper water service train kindly look matter
6,google i1 button used billion times pnr day source alltwitter
3,sir water point
4,train departed varanasi reaching chunar minutes mirzapur
4,students pnr 2119025096 confirmed tkt counter raeberali denying refund sayin late reach window
5,dear sir father senior citizen patient tootravelling alone seat confirmed rac
4,emu 64439 ghaziabad new delhi daily latekindly check amp resolved issue
1,sir fir lodged grpbandikui vide crno 3416 us 380 ipc
0,travelling howrah cuttack 12073 jan shatabdi exp coach c2 cleanliness coach
0,water clear train 12656 pnr 4837665503 please look matter seriously
5,hi siri need help umy wife son 4years hvng waiting ticket 41st ac pnr 2119063322of bilaspur rajhdhani
3,paschim express vendor doesnt give food mentioned menu ppl option food choice
5,hello sir want going village money buy ticket plz help
4,rt everyday magadh exp 12401 running late 3to hrs without reson anyome responsibility pâ
1,bro lost luggage luks like rail officials dindigul station pnr4840503630ph 9994437217pl help
7,kindly share pnr number amp contact number
0,train 12183 water coach se4 use toilets
4,whats reason behind delay hours 14312 ala hazrat exp go back home station
0,pathetic dirty toilet b1 a1 22940 bilaspur hapa expressplease help
6,poor service railways
0,water train 18104 running hrs
4,sir delayed clash academic session
4,frm jbp patna pnr 83478 48608will reach timeit ruing like pasr sf tol disappointing
5,tried cancel ticket chart preparation due login problem unable pnr is2119194363
6,applaud indian railway 4commendable servicewe issue charging pt attendants quickly cameplucked entireâ
7,matter notified officials concerned
4,train 12497 stuck bhodwal st one help one telling reasone delay pl help
4,railway never irresponsible called fake development happening railway never irresponsible
1,plz hlphe missing since 15 daysamp today sum1 seen adi station
0,pnr 2119050261 train 12472 coach a1 ac working since start journey jammu tavi
0,sir old delhi railway station bag scanning machine workingno checkpoint luggage check
1,sir fir lodged grpsatna vide crno 03916 us 380 ipc transferred grpallahabad
4,means make extra late train running late 300 hrs summer season winter much fog atmosphere
3,rpf serious eating business pantry passengers shri shakti exp today
5,tt regularly visit first class passticket checking
4,pls tell 55150 originate today bcy
4,stated train waste almost one half hour platform please try fix less time help
3,irctc canteen mysore selling water 5rs mrp bought 20
0,iam also indian citizen tandur station also india action reply water
4,18237 engine failed silyari still making announcement train coming announce expected time
5,many months say years wait conscience corrupt rottenâ
4,train handled late hours previous division kindly update
5,new delhi station one counter working platform ticket huge line nd people waiting
4,parents travelling 15231 pnr 6408164808 coach s5 nâ
5,want know waiting list ticket cant cancelled time departure train
4,14208 held bareilly shahjanpur delayd 25 hrs train route delyd 14208 victimizd
2,request doctor pain killer injection rewari stn 19718 one arrived urgent matter
5,train 12017 pnr 2646724070 reserved tckts wtng chair seats allow waiting shatabdi trains
0,pnr 8747892216train 22981 coachs7 fan working coach s7 mercury highplz help
5,tried tatkal booking delhi goa rajdhani jalandar city railway station supported staff
5,hvng ac irctc amp today ws loged 8ami hv seen da within 801 ac tickets sold
4,incorrect tdr claim prcsdrqst hve look tdr 100000105731626 train hr late
4,sirtrain hrs late train 15623i also attend train guwahaty naharlagun intercity express itanagar
5,train 12344 coach b3 tt accepted bribe amp allotted seats wl passengers instead rac seats
7,kindly look
5,screen img 46 09062016 fyr tatkal quota without opng great
6,
4,rt provide 1min stoppage karnataka sampark kranthi haveri
4,22415 current location b6 coach ac
5,amount debited reservation failed request support pay back entire amount
6,pls consider nos western toilets 23 ac coaches many elderly travel hv problems thnx
5,mother travelling month kid given upper berth instead providing details baby
6,thanks give attention meerut saharanpur railway line
6,many benifited thanks lot sir
0,traveling 12506 dt 110616 s3 toilets fully dirty water toiletkindly arrange help urgentlypnr 2647351440
4,train time changed informed family stuck mangalore pls add time sms
5,heard irctc charge service charge 1616 online ticket still deducting
5,tatkal service biggest garbage plz close service05 website workingshowing error
5,got ticketthanku problem solved cers bilimora prs withdraw complaint
5,tt declining accept college id true id higher authorities act pnr 4512791357
0,traveling train 12590 coach s8 fans working told last station one attended
4,concern late running 14205 14206 never reaches time either station pl check ur data real concern
0,travelling train 18623pnr 6252708712 1st class coach paid around 1700 ac working properly
5,possible tatkal 256 available garib rath seats booked within 15 min hidden tricks
6,rt procuring congress mouthpiece national herald priced hefty rs 20piece amp providing toâ
5,sir need ur kind assistance cancer patient hs tatkal ticket status ckwl1920 plz something
3,hello sir mai time malwa express train number 12919 hu abhi vendor se khane ke rate pucha usneâ
4,pls confirm whn reach need attend function late schedule arrival barelliye
4,travel wth mother cant walk properly ptb stoppage extended mins pnr 2118501258train 12618
1,sir lost mobile bearing 9442455386 travelling pothigai express train 12661 today 515
6,till action taken
